motif_id,instance_idx,start,end,length,distance,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_pattern_type
4,147,210506,210566,60,4.287416296870608,,,,
4,148,111827,111887,60,4.291546897055631,,,,
4,149,262655,262715,60,4.296654250155509,,,,
4,150,204778,204838,60,4.309150767169649,,,,
4,151,151998,152058,60,4.330789133843912,,,,
4,152,52250,52310,60,4.351137637599,,,,
4,153,259124,259184,60,4.3650485178002025,,,,
4,154,138582,138642,60,4.371237369974508,,,,
4,155,72574,72634,60,4.374090107272884,,,,
4,156,97603,97663,60,4.377215036698677,,,,
4,157,86792,86852,60,4.385185609196756,,,,
4,158,109250,109310,60,4.392340313132985,,,,
4,159,244286,244346,60,4.418087656724693,,,,
4,160,159615,159675,60,4.43031302655779,,,,
4,161,105261,105321,60,4.4382459179944815,,,,
4,162,86920,86980,60,4.440858003350182,,,,
4,163,66598,66658,60,4.44629318159929,,,,
4,164,129614,129674,60,4.469695969810718,,,,
4,165,164602,164662,60,4.472744057151125,,,,
4,166,13242,13302,60,4.480390192813069,,,,
4,167,269059,269119,60,4.4839268041090605,,,,
4,168,121650,121710,60,4.488823790826685,,,,
5,0,150361,150421,60,9.424321830774485e-08,,,,
5,1,30740,30800,60,0.9227438071261833,,,,
5,2,245711,245771,60,1.1839126776545432,,,,
5,3,110582,110642,60,1.2121707162743236,,,,
5,4,158643,158703,60,1.2146564674120932,,,,
5,5,119509,119569,60,1.3582051990710473,,,,
5,6,104309,104369,60,1.743509680732285,,,,
5,7,188791,188851,60,3.264975256813047,,,,
5,8,59046,59106,60,4.1271748006700415,,,,
5,9,227263,227323,60,4.330044126414146,,,,
6,0,108574,108634,60,2.4934411839666234e-07,,,,
6,1,85781,85841,60,1.2678703961887463,,,,
6,2,118274,118334,60,3.0893860127691477,,,,
6,3,174557,174617,60,3.1152156256885433,,,,
6,4,197356,197416,60,3.473611560821695,,,,
6,5,208106,208166,60,3.707088026238941,,,,
6,6,53397,53457,60,3.7097257827123786,,,,
6,7,248313,248373,60,3.9291788515447923,,,,
6,8,137997,138057,60,3.961472305144512,,,,
6,9,226334,226394,60,3.9777784829204905,,,,
6,10,262587,262647,60,3.9860995628602764,,,,
6,11,203563,203623,60,3.986370592684024,,,,
6,12,129719,129779,60,4.088932141428649,,,,
6,13,125520,125580,60,4.151804717277453,,,,
6,14,196336,196396,60,4.1995229440569934,,,,
6,15,233968,234028,60,4.314013742106439,,,,
6,16,206656,206716,60,4.327389116886178,,,,
6,17,225557,225617,60,4.372590692509462,,,,
7,0,21963,22023,60,0.0,,,,
7,1,26273,26333,60,2.3903070948686373,,,,
7,2,6084,6144,60,2.5767391118268548,,,,
7,3,22388,22448,60,2.6539763542969412,,,,
7,4,178341,178401,60,3.126879256073691,,,,
7,5,52353,52413,60,3.1692227775244612,,,,
7,6,236497,236557,60,3.174017292264458,,,,
7,7,179027,179087,60,3.6256592918363224,,,,
7,8,162685,162745,60,3.9552522024233707,,,,
7,9,151846,151906,60,4.032439699632097,,,,
7,10,129509,129569,60,4.0930969742741095,,,,
7,11,109956,110016,60,4.187217910218566,,,,
7,12,169691,169751,60,4.289192736643155,,,,
7,13,222749,222809,60,4.328231991108161,,,,
7,14,99968,100028,60,4.3333953030964105,,,,
7,15,207926,207986,60,4.424670220782968,,,,
7,16,174175,174235,60,4.438837469132051,,,,
8,0,86566,86626,60,1.3493575361575808e-06,,,,
8,1,110667,110727,60,1.2079136505203376,,,,
8,2,177007,177067,60,1.526292669916228,,,,
8,3,265599,265659,60,1.6877619597942335,,,,
8,4,79841,79901,60,1.7916336600954277,,,,
8,5,49009,49069,60,1.9158551679298421,,,,
8,6,12194,12254,60,2.47321239395015,,,,
8,7,159989,160049,60,2.773570757148084,,,,
8,8,83442,83502,60,2.8315450021013544,,,,
8,9,72793,72853,60,2.8628563819824806,,,,
8,10,237603,237663,60,2.9128855315308892,,,,
8,11,228590,228650,60,2.947576252966484,,,,
8,12,133091,133151,60,3.0642611034997933,,,,
8,13,257671,257731,60,3.1257884266101272,,,,
8,14,109618,109678,60,3.1392053278386856,,,,
8,15,5292,5352,60,3.1421412201987566,,,,
8,16,236572,236632,60,3.149240374189857,,,,
8,17,229486,229546,60,3.2226161087509544,,,,
8,18,254677,254737,60,3.2393807529505634,,,,
8,19,220896,220956,60,3.2473627539131082,,,,
8,20,243441,243501,60,3.249030868044238,,,,
8,21,95912,95972,60,3.249162823420109,,,,
8,22,144258,144318,60,3.258040068958419,,,,
8,23,40009,40069,60,3.282878076794389,,,,
8,24,261335,261395,60,3.290768082552296,,,,
8,25,136835,136895,60,3.3524209856742093,,,,
8,26,123482,123542,60,3.3819997614849027,,,,
8,27,119818,119878,60,3.412670044816041,,,,
8,28,149497,149557,60,3.4156795003768807,,,,
8,29,64586,64646,60,3.448564085612776,,,,
8,30,222214,222274,60,3.4635690582844587,,,,
8,31,6463,6523,60,3.463868540199083,,,,
8,32,10229,10289,60,3.481617399681507,,,,
8,33,1404,1464,60,3.4964424822772395,,,,
8,34,269296,269356,60,3.5102888440651414,,,,
8,35,262309,262369,60,3.5284343582997835,,,,
8,36,226976,227036,60,3.5421505701133693,,,,
8,37,189594,189654,60,3.5475476086600124,,,,
8,38,52866,52926,60,3.568134351951984,,,,
8,39,239736,239796,60,3.6301433647624073,,,,
8,40,89804,89864,60,3.669143814655747,,,,
8,41,139535,139595,60,3.6773240961814384,,,,
8,42,63242,63302,60,3.7025078373413414,,,,
8,43,170993,171053,60,3.731583285491667,,,,
8,44,1018,1078,60,3.732655022033398,,,,
8,45,259378,259438,60,3.7549157726418563,,,,
8,46,212602,212662,60,3.7589742070058696,,,,
8,47,247409,247469,60,3.767824028220987,,,,
8,48,67807,67867,60,3.7830747267114564,,,,
8,49,114562,114622,60,3.7904849100556124,,,,
8,50,205660,205720,60,3.8069477833765277,,,,
8,51,261424,261484,60,3.8135857052008273,,,,
8,52,40415,40475,60,3.8162982918833253,,,,
8,53,242882,242942,60,3.820245054445283,,,,
8,54,69332,69392,60,3.8427536349559697,,,,
8,55,112270,112330,60,3.8768171615204046,,,,
8,56,106699,106759,60,3.9092305530401488,,,,
8,57,11344,11404,60,3.9107092227560565,,,,
