motif_id,pattern_type,instance_idx,start,end,length,distance,meta_pattern_type,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_psi200_cv
14,mv,2,58017,58077,60,2.406609913254237,mv,,,,
14,mv,3,150232,150292,60,2.563989755058949,mv,,,,
14,mv,4,149142,149202,60,2.6934462588948676,mv,,,,
14,mv,5,140621,140681,60,2.830433442849134,mv,,,,
14,mv,6,131344,131404,60,2.8509907519994404,mv,,,,
14,mv,7,192873,192933,60,2.8701742249828204,mv,,,,
14,mv,8,95516,95576,60,2.926624712214023,mv,,,,
14,mv,9,157207,157267,60,2.933957693294458,mv,,,,
14,mv,10,188014,188074,60,3.0171403243599726,mv,,,,
14,mv,11,141292,141352,60,3.0195510674833437,mv,,,,
14,mv,12,254794,254854,60,3.1713600025311908,mv,,,,
14,mv,13,6710,6770,60,3.263479543306475,mv,,,,
14,mv,14,122800,122860,60,3.2735370724870987,mv,,,,
14,mv,15,101552,101612,60,3.279273406374959,mv,,,,
14,mv,16,198060,198120,60,3.2827915494920066,mv,,,,
14,mv,17,147996,148056,60,3.283773052106925,mv,,,,
14,mv,18,228023,228083,60,3.297789231097101,mv,,,,
14,mv,19,64263,64323,60,3.3193011593664927,mv,,,,
15,mv,0,119754,119814,60,4.270164277453921e-06,mv,,,,
15,mv,1,190239,190299,60,1.6748089932164907,mv,,,,
15,mv,2,116138,116198,60,2.227420117947211,mv,,,,
15,mv,3,200776,200836,60,2.228006519874863,mv,,,,
15,mv,4,143640,143700,60,2.551653327789017,mv,,,,
15,mv,5,85326,85386,60,2.5638472996902313,mv,,,,
15,mv,6,121384,121444,60,2.571211938330715,mv,,,,
15,mv,7,300212,300272,60,2.723437737677016,mv,,,,
15,mv,8,147112,147172,60,2.7431103510076498,mv,,,,
15,mv,9,173742,173802,60,2.7703639425254805,mv,,,,
15,mv,10,172058,172118,60,2.796794858291154,mv,,,,
15,mv,11,227609,227669,60,2.8022634715417998,mv,,,,
15,mv,12,180070,180130,60,2.904256683140398,mv,,,,
15,mv,13,161801,161861,60,2.924354041249023,mv,,,,
15,mv,14,330288,330348,60,2.9383705228116193,mv,,,,
15,mv,15,112919,112979,60,3.005427877772713,mv,,,,
15,mv,16,171665,171725,60,3.015250475284355,mv,,,,
15,mv,17,245883,245943,60,3.01558449591951,mv,,,,
15,mv,18,310290,310350,60,3.0227159149745586,mv,,,,
15,mv,19,341473,341533,60,3.0561015434296035,mv,,,,
16,mv,0,109884,109944,60,8.56784374205175e-06,mv,,,,
16,mv,1,148867,148927,60,1.812499060540734,mv,,,,
16,mv,2,192957,193017,60,2.1773055450056464,mv,,,,
16,mv,3,223603,223663,60,2.3242893173302046,mv,,,,
16,mv,4,115329,115389,60,2.523595756139264,mv,,,,
16,mv,5,62660,62720,60,2.526749086796128,mv,,,,
16,mv,6,86416,86476,60,2.5512673843732245,mv,,,,
16,mv,7,82198,82258,60,2.5545262253864296,mv,,,,
16,mv,8,19224,19284,60,2.6548763442459524,mv,,,,
16,mv,9,62420,62480,60,2.6704374425093698,mv,,,,
16,mv,10,66128,66188,60,2.678465920502692,mv,,,,
16,mv,11,64729,64789,60,2.6840575295968425,mv,,,,
16,mv,12,133028,133088,60,2.6983415144988117,mv,,,,
16,mv,13,41356,41416,60,2.707748123686949,mv,,,,
16,mv,14,179021,179081,60,2.7429920526098104,mv,,,,
16,mv,15,110212,110272,60,2.791546347014737,mv,,,,
16,mv,16,184471,184531,60,2.7918742354347557,mv,,,,
16,mv,17,84701,84761,60,2.8062428156231514,mv,,,,
16,mv,18,236487,236547,60,2.8154087556936434,mv,,,,
16,mv,19,290713,290773,60,2.8233404149334596,mv,,,,
17,mv,0,274548,274608,60,4.6169559314339364e-07,mv,,,,
17,mv,1,325149,325209,60,1.3143159955866488,mv,,,,
17,mv,2,290477,290537,60,1.8778781518039462,mv,,,,
17,mv,3,150900,150960,60,2.0942909102208382,mv,,,,
17,mv,4,82629,82689,60,2.2334470888765003,mv,,,,
17,mv,5,306919,306979,60,2.2465904513036774,mv,,,,
17,mv,6,148618,148678,60,2.3736393170200683,mv,,,,
17,mv,7,334690,334750,60,2.517807662896789,mv,,,,
17,mv,8,160143,160203,60,2.522863368223267,mv,,,,
17,mv,9,69144,69204,60,2.5724421776496182,mv,,,,
17,mv,10,306386,306446,60,2.575788552934091,mv,,,,
17,mv,11,194738,194798,60,2.596691090242234,mv,,,,
17,mv,12,19714,19774,60,2.6209063005129973,mv,,,,
17,mv,13,6825,6885,60,2.6317827052763323,mv,,,,
17,mv,14,308867,308927,60,2.6418055370620217,mv,,,,
17,mv,15,69612,69672,60,2.7112858143234773,mv,,,,
17,mv,16,121279,121339,60,2.7372675370591817,mv,,,,
17,mv,17,22660,22720,60,2.747901672907907,mv,,,,
17,mv,18,269196,269256,60,2.75012111533399,mv,,,,
17,mv,19,134375,134435,60,2.7754258803756797,mv,,,,
18,mv,0,69529,69589,60,7.539457464619588e-07,mv,,,,
18,mv,1,63716,63776,60,2.854481768475096,mv,,,,
18,mv,2,154761,154821,60,3.1837535599398166,mv,,,,
18,mv,3,80947,81007,60,3.7356118445347573,mv,,,,
18,mv,4,60574,60634,60,3.7583822393129394,mv,,,,
18,mv,5,130514,130574,60,3.9177628486841014,mv,,,,
18,mv,6,113287,113347,60,3.9798684979327956,mv,,,,
18,mv,7,280358,280418,60,3.9917604472826147,mv,,,,
18,mv,8,295409,295469,60,4.00896182564737,mv,,,,
18,mv,9,14867,14927,60,4.085279514319031,mv,,,,
18,mv,10,277680,277740,60,4.1708384115198855,mv,,,,
18,mv,11,142572,142632,60,4.187962942255521,mv,,,,
18,mv,12,209574,209634,60,4.216546653450638,mv,,,,
18,mv,13,191316,191376,60,4.297857753432072,mv,,,,
18,mv,14,122228,122288,60,4.305035777163899,mv,,,,
18,mv,15,139141,139201,60,4.3162242107644015,mv,,,,
18,mv,16,199905,199965,60,4.319033866856756,mv,,,,
18,mv,17,223679,223739,60,4.385037695465748,mv,,,,
19,mv,0,109987,110047,60,8.299826397699034e-06,mv,,,,
19,mv,1,69364,69424,60,2.8929902419316833,mv,,,,
19,mv,2,226769,226829,60,3.0123895342732263,mv,,,,
19,mv,3,80042,80102,60,3.1019527027800473,mv,,,,
19,mv,4,62349,62409,60,3.2781827613918706,mv,,,,
19,mv,5,165853,165913,60,3.29989825828453,mv,,,,
